customer_tweet_id,customer_text,created_at,amazon_response,amazon_tweet_id
657,"@AmazonHelp Already handled, just venting. It was a pretty big bummer.",Tue Oct 31 22:18:42 +0000 2017,@115839 Let us know if there’s anything else we can do for you! We're happy to help out any way we can! ^FR,656
659,"@115821, it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin… https://t.co/Lac4K7iQzJ https://t.co/JroqJKrH9Q",Tue Oct 31 22:02:14 +0000 2017,@115839 I'm sorry your book arrived this way! You can find replacement/refund options here: https://t.co/zRrkpVcaDF ^VS,658
661,@115841 @115821 Feliz #Halloween2017 https://t.co/edHbRDnM8x,Tue Oct 31 22:13:37 +0000 2017,@115840 ¡Que lindoooooooooo! 😍🐶🎃 ^JJ https://t.co/YSOVnjaPrO,660
664,"@AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge",Tue Oct 31 21:50:49 +0000 2017,"@115842 Oh no! Please contact us via phone/chat here: https://t.co/JzP7hlA23B
We're unable to view order details via Twitter. ^KL",663
667,"Anna Inspired in idea lab at school to be @115821 package being shipped to Narnia! ""Amazon can go anywhere"" according to Anna. https://t.co/TyvKhuu7su",Tue Oct 31 22:11:10 +0000 2017,@115843 You're not lion! She even shows witch way is up! That's quite the wardrobe! ^AC,665
670,@115845 They sent the feckin' order to Germany! Some dozy driver is looking for an address in the wrong country! I'm so done with Amazon!,Tue Oct 31 22:15:42 +0000 2017,@115844 Oh my! I'm sorry for the troubles! Contact us by Phone or Chat: https://t.co/JzP7hlA23B &amp; we'll be glad to help! ^FR,668
672,"I'm NEVER using Amazon again! After waiting in all day as item is ""out for delivery"", they've only gone and sent it to the WRONG COUNTRY!",Tue Oct 31 20:59:45 +0000 2017,@115844 Oh no! We're here to help! Without providing account details will you give us more information about what has happened? ^SE,674
676,@115847 @115821 Yeah idk the shipping company and it says “mike Ziemer” signed for it in the mail room at our building lol,Tue Oct 31 21:39:25 +0000 2017,@115846 That's okay! Thanks for checking! Please contact us by phone or chat and we can look into this: https://t.co/hApLpMlfHN ^BN,675
678,My package from @115821 with my Halloween costume was “delivered” Friday but I don’t have I so searching everywhere for a last minute idea.,Tue Oct 31 20:06:57 +0000 2017,"@115846 Sorry about your costume, Mike! Who's the carrier responsible for the delivery? Let's check here: https://t.co/Y5jpI9gRhE ^JZ",679
681,@115821  https://t.co/Gb0beuA3IN,Tue Oct 31 22:11:34 +0000 2017,@115848 I'm sorry for the trouble this has caused you; please contact us so we may lend you a hand: https://t.co/hApLpMlfHN ^WM,680
682,How @115821 packages china https://t.co/fO9vbus18E,Tue Oct 31 13:34:50 +0000 2017,@115848 We're always looking for ways to improve and we'd like to hear your feedback on this packaging: https://t.co/vjMFYkFFd1 ^KN,683
685,@AmazonHelp Details sent. Please check.,Wed Nov 01 05:26:45 +0000 2017,@115849 Thanks for confirming that the details have been shared. Our team will give it a look and reach out shortly. ^AB,687
686,@AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!,Tue Oct 31 22:06:53 +0000 2017,@115849 Please share your details here:https://t.co/GIJyeYqKE0 and I'll get back to you. 2/2 ^HD,684
686,@AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!,Tue Oct 31 22:06:53 +0000 2017,"@115849 I understand your concern, James. Allow me to take a closer look. 1/2 ^HD",688
690,@115850 @115821 @AmazonHelp @115851 Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself.,Tue Oct 31 21:45:15 +0000 2017,@115849 Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. 2/2 ^HD,689
690,@115850 @115821 @AmazonHelp @115851 Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself.,Tue Oct 31 21:45:15 +0000 2017,"@115849 Apologies for the delay in delivery of your order, James. We'd like to take a closer look. 1/2 ^HD",691
693,@AmazonHelp since when you stop giving 20% off videogame pre-orders (amazon prime members) im confused? why?,Tue Oct 31 22:10:21 +0000 2017,@115852 We still offer discounts on eligible physical game pre-orders. For further details on Prime benefits: https://t.co/80y2YnlQGJ ^MB,692
695,Just pulled another #Amazon delivery out of the bushes since the #amzl people can’t walk the extra 2 ft to my door. So tired of this.,Tue Oct 31 21:17:03 +0000 2017,@115853 I'm sorry we let you down! We'd like to make sure this is addressed. Please provide some details here: https://t.co/z6evtFsZI5 ^BN,694
1693,@AmazonHelp but I can’t find the options to cancel or re-order?,Tue Oct 31 22:54:54 +0000 2017,@116081 I'm sorry for the delay! We'd like to take a further look into this with you! Please reach us here: https://t.co/hApLpMlfHN ^AG,1696
1695,@115821 my order hasn’t arrived (it was due 14th October). Can you help?,Tue Oct 31 22:40:01 +0000 2017,@116081 Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on your order? ^AJ,1692
1698,@AmazonHelp Thats the thing I told customer service. I created a new email address for the Prime trial and forgot it. What can I do so I'm not charged?,Tue Oct 31 22:47:50 +0000 2017,@116082 Hey Corey! Even on the new account you made you can turn of the auto renew through the same link ^SK posted for you. ^AJ,1700
1701,@AmazonHelp You have to log in. I don't remember the email address I used. Can you look up the account by my bank information?,Tue Oct 31 22:58:06 +0000 2017,@116082 It would be best if you get in touch with us by phone or chat.use this link to do so:  https://t.co/hApLpMlfHN ^CH,1704
1699,@AmazonHelp I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund? https://t.co/SeoQUsA0VA,Tue Oct 31 22:34:38 +0000 2017,@116082 Canceling your Prime membership can be done here:https://t.co/MlOxxuNX7N. You'll be shown your estimated refund there. ^SK,1697
1706,"@AmazonHelp I have tried. It’s not allowing me to access my account to cancel my membership, I haven’t even used prime in almost 3 months.",Tue Oct 31 22:33:08 +0000 2017,@116083 I'm sorry to hear you're not able to access your account. Please use this link instead to contact us: https://t.co/zYVX1Qi29G. ^LH,1705
1708,"@115821 being charged for amazon prime &amp; when I go to cancel it, it’s saying I’m not a member😠😠😠",Tue Oct 31 19:08:41 +0000 2017,@116083 Hmm... We'd like to take a better look at this with you. Please reach us via phone/chat here: https://t.co/JzP7hlA23B ^KP,1707
1710,@AmazonHelp where can I chat with a support member for a false charge,Tue Oct 31 22:33:35 +0000 2017,@116084 I'm sorry you've encountered an unknown charge! We'd be happy to look into this with you here: https://t.co/hApLpMlfHN ^BL,1709
1713,@AmazonHelp if I add another adult to my Amazon household (with their own account) can they see my wishlists/photos/order history?,Tue Oct 31 21:21:34 +0000 2017,@116085 Thanks for reaching out to us! You can find info on adding household members here: https://t.co/i3uumZzaok ^MO,1711
1715,Seriously @115821? I order 6 identical washing up bowls and they are all being dispatched as separate orders? My phone is buzzing non-stop!,Tue Oct 31 21:14:40 +0000 2017,@116086 Sorry for the inconvenience! Check out how to manage your notifications here: https://t.co/DLN4bDuc5B ^SG,1714
1717,"@AmazonHelp My package just got here. All good, thank you!",Tue Oct 31 22:40:54 +0000 2017,"@116087 Thank you for keeping us posted, Rachael! ^BA",1719
1718,"I ordered some parts of my costume late, but my amazon has a map of the driver and they're like, 6 houses away.",Tue Oct 31 22:33:25 +0000 2017,@116087 I'm sorry for the long wait; what is your current order status showing when you review it: https://t.co/Y5jpI9gRhE? ^WM,1716
1721,@AmazonHelp Never got the beta and now I’m being told I won’t get ANY of the other stuff. Including Last Jedi content and or bonus classes. Anything! :(,Tue Oct 31 22:37:35 +0000 2017,"@116088 We'd like to see what we can do to help. What date did you place the order on, and which version did you order? ^MB",1723
1724,@AmazonHelp Deluxe edition on September 16th. It definitely had the pre orders on the profile because that’s why I ordered. Also why I paid for Prime..,Tue Oct 31 22:48:50 +0000 2017,@116088 Could you link us to the page of the item on our website? This will allow us to take a closer look at all options. ^VB,1725
1726,@AmazonHelp Star Wars Battlefront 2 Elite Trooper Deluxe Edition Playstation 4 https://t.co/6K7WdDcY2P preorder info is in description. Thanks for help,Tue Oct 31 23:05:46 +0000 2017,@116088 Thanks for the link. We are not a participating retailer to receive the bonus content. Details: https://t.co/hJIrBtSMrl ^BE,1727
1722,"@116090 Saying I preordered to early, terrible customer service. Won’t renew prime if this isn’t fixed.",Tue Oct 31 22:16:51 +0000 2017,"@116088 I'm sorry for the frustration, Anthony! Can you tell me more about which pre-order bonuses are missing? ^EA",1720
1735,"@AmazonHelp Fulfilled by Amazon. It’s quite disturbing you’re selling counterfeit items, and can’t be trusted.",Tue Oct 31 22:41:11 +0000 2017,"@116091 We'd like to look into this with you in real time, Bry. When you can, please ring or chat in with us: https://t.co/JzP7hlA23B ^BL",1737
1736,Two fake items in one day. Time to cancel my Amazon Prime membership. @AmazonHelp,Tue Oct 31 22:21:42 +0000 2017,@116091 Oh no! I'm so sorry to hear this. Was the item sold by Amazon directly or Third-party seller: https://t.co/aaDyEz1VgE. ^LH,1734
1740,@AmazonHelp I have. No luck.,Sat Nov 04 00:53:12 +0000 2017,@116092 Sorry you're still having trouble! What error are you seeing when you try to use the app? ^JP,1742
1741,@115821 please spend time &amp; money to fix your app. Constant issues with it.,Tue Oct 31 22:20:43 +0000 2017,"@116092 Oh no, Barton! Have you tried uninstalling and re-installing the app? Perhaps a power cycle too? Please let us know. ^KL",1739
1744,@AmazonHelp It’s not allowing me to update it to register my new amazon account. I read I’d have to do so manually. Thx 4 response.,Tue Oct 31 22:50:15 +0000 2017,@116093 No problem! You may need to deregister the Kindle from the old account. You can see how here: https://t.co/zyUJKBZObw ^AJ,1746
1745,My Kindle not working properly is breaking my heart! 😩💔,Tue Oct 31 22:30:23 +0000 2017,"@116093 Oh no! We'd like to help you with this, Kelly! Can you tell us more about what's happening with the Kindle? Thanks!  ^AJ",1743
1748,@AmazonHelp that is not my apartment!!!!!!! This is the sending time!!!! Where is my package!!!!!!!!!! https://t.co/EIY6DZUCDC,Tue Oct 31 22:07:19 +0000 2017,"@116094 (2/2) Also, for your security, I'd recommend deleting the image, as it contains your tracking number. ^WT",1747
1748,@AmazonHelp that is not my apartment!!!!!!! This is the sending time!!!! Where is my package!!!!!!!!!! https://t.co/EIY6DZUCDC,Tue Oct 31 22:07:19 +0000 2017,@116094 I'm so sorry! We'd like to make sure this is addressed. Please provide some details here: https://t.co/KctVgMFvbp (1/2),1749
1752,@116096 Truly. This is the strangest vampire book I’ve ever received. 😜 cc @43760 @AmazonHelp #misship https://t.co/Zad7Az14Zg,Tue Oct 31 22:06:28 +0000 2017,@116095 I'm sorry you received an incorrect item. Have you checked out our return/replacement options here: https://t.co/FRsodhtXKJ? ^FJ,1750
2533,"@AmazonHelp 先日教えていただいたように、fireTVstickとルーターの両方を再起動してみたら、前回のようには途切れなくなりました！ありがとうございます😊今の所大丈夫ですが、あとは72時間TV当日に接続が切れてしまわないように祈るのみです...。
お礼と報告まで。 https://t.co/hS5VmxuIfX",Tue Oct 31 15:52:42 +0000 2017,@116312 わざわざご連絡をいただき、ありがとうございます。問題が改善されたようで、何よりでございます。万が一再度お困りのことがございましたら、ご遠慮なくお知らせください🙏 YM,2532
2535,@AmazonHelp ご丁寧にありがとうございます！トライしてみて改善されなければCSへご連絡します。返信いただけると思っていなかったので本当に嬉しいです！,Sun Oct 29 11:43:59 +0000 2017,@116312 こちらこそリプライいただきありがとうございます！ご様子を見ていただき、改善されない場合、お早目にカスタマーサービスにご連絡いただければと存じます。よろしくお願いいたします m(_ _)m HM,2534
2537,"@AmazonHelp ありがとうございます！
テレビにstickを接続しているのですが、WiFi接続がすぐに切れてしまい、数分しか見ることができません。",Sun Oct 29 09:14:12 +0000 2017,"@116312 かしこまりました。端末、ルーター、モデムを再起動し改善するかお試しください。https://t.co/mUMGYDqPEM
改善しない場合、カスタマーサービスにお知らせください。https://t.co/NtNAX37Sr4 ET https://t.co/kp0Ug6rMsZ",2536
2539,@116313 fire TV stickを購入したのですが一瞬しかうつりません.°(ಗдಗ。)°.どうしたらいいのでしょうか...,Sun Oct 29 08:50:17 +0000 2017,@116312 アマゾンです。お困りの状況が特定できないのですが、エラーメッセージや画面の状況、操作方法など詳しい状況を教えていただけますか。ご利用端末はテレビですかPS4などのゲーム機でしょうか。ET,2538
2543,"@AmazonHelp Just now, don't use Amazon much so didn't know the process if you don't receive an item",Tue Oct 31 23:17:22 +0000 2017,"@116314 Please allow 48 hours for the seller to respond, Allen. Let us know how it works out and if we can help with anything else! ^CN",2545
2544,@AmazonHelp Wasn't tracked as sent via Royal Mail. I've emailed the seller.,Tue Oct 31 22:50:14 +0000 2017,@116314 How long has it been since you've e-mailed the seller? ^TR,2542
2547,@AmazonHelp Yeah I sent you a DM too. Had an email saying when it had been dispatched but nothing since.,Tue Oct 31 20:19:21 +0000 2017,@116314 We're unable to view any account information via Twitter. What's the current tracking shown here: https://t.co/aaDyEz1VgE? ^AG,2546
2549,"@AmazonHelp Hi, I ordered an item on 18 Oct which said it would be delivered by 20 Oct and I still haven't received it. Can you help? Thanks",Tue Oct 31 19:24:59 +0000 2017,@116314 I'm sorry you haven't received it yet! Have you had an e-mail regarding the order? Please check junk/spam and let us know! ^TG,2548
2551,"@AmazonHelp I'm learning German, so I don't really mind between German/English. If I have to choose, I say German.",Tue Oct 31 22:47:18 +0000 2017,"@116315 Du kannst bei den Kategorien ""Bücher"" oder ""Bücher Fremdsprachig"" auswählen, wobei ersteres deinem Wunsch entspricht. Gruß ^JS",2550
2553,"@116316 Hi. How can I restrict results to German language books, while searching titles on amazon.de?",Tue Oct 31 17:07:01 +0000 2017,"@116315 Hi, just a question at the beginning - do you prefer answers in German or English? ^NW",2552
2555,@AmazonHelp I allowed it well past 8 PM. I was never notified about any other delays,Wed Nov 01 01:55:49 +0000 2017,@116317 I'm sorry that it still hasn't arrived. Please contact us so that we can look into this together: https://t.co/hApLpMlfHN ^EA,2557
2556,"@AmazonHelp I made a same day ship mid Monday and it said it would deliver that day. It didn’t. Today it still says out for delivery, still no show.",Tue Oct 31 22:51:14 +0000 2017,"@116317 I'm so sorry for the late delivery, Kimmie! Our carriers can deliver until 8 PM, please keep us updated on its arrival. ^BE",2554
2559,"@AmazonHelp hello, I’m having an issue with a same day ship order.  Can you help me?",Tue Oct 31 22:18:10 +0000 2017,@116317 Hello! We'd love to help. Can you tell us a bit more about what's happening? ^EB,2558
2561,Erm @AmazonHelp I bought this item for £5.99... why am I only getting £1.67 back?! https://t.co/lb33bFOcW0,Tue Oct 31 21:26:14 +0000 2017,"@116318  We'd like to take a closer look into this refund for you. Please reach us at:https://t.co/JzP7hlA23B
 ^CC",2560
2561,Erm @AmazonHelp I bought this item for £5.99... why am I only getting £1.67 back?! https://t.co/lb33bFOcW0,Tue Oct 31 21:26:14 +0000 2017,"@116318 I'm sorry you didn't receive the refund amount you expected. Please check here for more info: 
https://t.co/I5rEOyBt2k ^BT",2562
2565,@AmazonHelp Where is my order? https://t.co/pXnKSCo2ex,Tue Oct 31 22:36:21 +0000 2017,"@116319 I'm sorry it hasn't arrived! Please reach us here: https://t.co/e6dQwzp386, so we can look into available options. ^SJ",2564
2568,"Hey @115821, why is your Prime 2-day delivery not arriving until Monday? Is there a holiday I don't know about?",Tue Oct 31 22:40:57 +0000 2017,"@116320 Most items are readily available for shipping; however, some aren't and may have a longer processing time than others. ^QJ",2566
2570,"@AmazonHelp yes i did,but amazonuk is not doing the refund process.if they do it .i will get the money",Tue Oct 31 22:16:47 +0000 2017,"@116321 I would like someone from our team to take a look into this for you, Sanu. Please reach out here: https://t.co/QtC7bueYoR ^LA",2569
2572,@AmazonHelp i mailed amazonuk so many time. but i havent got any progress.customer care just saying thats in the billing section.no i havent got refund,Tue Oct 31 22:00:12 +0000 2017,@116321 Have you had a chance to speak with your bank regarding the refund? ^EA,2571
2574,@AmazonHelp and redund issued on 13th https://t.co/1uydlorGCp no sing of my money and amazonuk just saying its in the billing department.no signof devlp,Tue Oct 31 21:43:12 +0000 2017,@116321 When you last contacted us what information did we provide? Have you spoken with your bank to see if they have the refund? ^LR,2573
2577,@115830 amazonuk took money without any https://t.co/w25zXi7DYp they are not giving it back nor giving clear statement of my refund proces,Tue Oct 31 21:17:08 +0000 2017,"@116321 I'm sorry for the frustration! Without giving personal/account details, could you tell us a bit more about what's going on? ^DG",2575
2581,"@AmazonHelp I've been in the prime queue, kindle queue, the echo queue, and now on hold again.",Tue Oct 31 22:50:46 +0000 2017,@116322 We'd like to look deeper into this issue. Please provide us with more information here: https://t.co/wpDDiHUP4k. ^LH,2582
2580,the @amazonhelp queue is clueless on Amazon Household,Tue Oct 31 22:46:16 +0000 2017,"@116322 I'm sorry for the frustration! Without giving account/personal details, can you please provide us with more info? ^AC",2578
2584,@AmazonHelp Well ok but @116324 said it’s been dlvd so I can’t see how they will bother to deliver it now! I think they have washed their hands of it,Tue Oct 31 22:11:58 +0000 2017,@116323 We're definitely here to help! Please reach out to us by phone here: https://t.co/JzP7hlA23B ^SE,2583
2586,@116324 not dlvd after 1 wk. U lied 2 @AmazonHelp saying left in safe place on Fri. Yesterday u said wld be dlvd 24-48hrs. Sort this now!,Tue Oct 31 20:28:23 +0000 2017,@116323 I'm sorry your order hasn't arrived yet! Please let us know if you haven't received it within 48 hours. ^EB,2585
2591,@AmazonHelp No on the card. It works only half the time. Yes on USPS. They say my delivery person won’t deliver anything over 30 lbs. just sends it back,Tue Oct 31 22:24:18 +0000 2017,"@116325 We'd like another chance to look into this. Please reach out by phone or chat: https://t.co/hApLpMlfHN

Please keep us updated. ^FJ",2587
2594,@AmazonHelp Want to speak to someone at corp to address these issues.,Tue Oct 31 20:18:44 +0000 2017,@116325 Have you tried deleting the card from the account and re-adding it? Have you reached out to USPS about these deliveries? ^AF https://t.co/1XyLaGkcaN,2592
2598,@AmazonHelp Multiple calls to call amazon call center with zero resolution and never a promised call back.,Tue Oct 31 19:52:08 +0000 2017,@116325 Can you tell us what insight / advice was provided with when you spoke with us last? We'd like to help if we can. ^BG,2595
2602,Rapidly losing faith in @115821 and their #esl CS ability to solve problems. No resolutions or follow ups.,Tue Oct 31 19:21:37 +0000 2017,"@116325 Sorry for the poor experience. Without giving any account information, could you tell us what's going on? We'd love top help! ^MH",2599
3655,"just noticed I paid £4.95 delivery on Amazon simply because I did not select the FREE delivery option, after I spent enough to qualify... what a RIP OFF, why is it not free automatically when qualifying @115830",Wed Nov 22 10:02:47 +0000 2017,"@116586 Hi, you can edit your order at any time before it enters the dispatch process. To do this please check out our help page: https://t.co/wRa3FyXyBb ^KI",3654
3655,"just noticed I paid £4.95 delivery on Amazon simply because I did not select the FREE delivery option, after I spent enough to qualify... what a RIP OFF, why is it not free automatically when qualifying @115830",Wed Nov 22 10:02:47 +0000 2017,@116586 Sorry to hear this. Did you select Free delivery at the checkout? ^PK,3656
3724,@AmazonHelp There was only one costing a lot more than £20 and  FBA -stating eligibility !,Tue Oct 31 23:04:13 +0000 2017,"@116610 We'd like to take a look into this with you. When you have a moment, please reach out to us here: https://t.co/qy3J24VGxb ^AC",3722
3726,@115830 Why do you say that an article is eligible for free delivery then offer nothing but standard option at £4.75?,Tue Oct 31 22:53:28 +0000 2017,@116610 Is everything in your basket eligible? You can find more info here: https://t.co/d1x19RiAXm Let us know if this helps! ^EB,3725
3728,@AmazonHelp All of them,Tue Oct 31 23:12:06 +0000 2017,@116611 Hmm.... Let's take a closer look into what's going on here: https://t.co/jzvkhdlrK5 ^ML,3730
3729,@AmazonHelp i reset my password 3 times and it still says incorrect you gotta be shitting me,Tue Oct 31 22:34:33 +0000 2017,@116611 I'm sorry for the trouble! Have you tried the steps outlined here? https://t.co/POJ37mWiEk ^LA,3727
3732,@AmazonHelp I can’t log in because it’s locked.,Tue Oct 31 23:29:03 +0000 2017,"@116612 The link ^TN provided will allow you to contact us without signing in! Select ""skip log in"" and you'll be in touch in no time! ^VB",3734
3733,"@AmazonHelp um, my account was locked as soon as I tried to login on desktop. I still haven’t received an email on how to get it unlocked...",Tue Oct 31 22:57:48 +0000 2017,@116612 I'm sorry your account is locked! Please reach out directly to us here: https://t.co/jzvkhdlrK5 so we can take a closer look. ^TN,3731
3736,@AmazonHelp Kann ich dann wenigstens mein Amazon-Konto aufladen um zu bezahlen. Ich habe keine Kreditkarte und möchte auch keine,Tue Oct 31 23:13:39 +0000 2017,"@116613 Du hast die Möglichkeit, Amazon.de Geschenkkarten aus dem stationären Handel für deine Bestellungen einzulösen. Gruß ^DS",3738
3737,@AmazonHelp Warum ist es mir (und scheinbar auch ein paar anderen) nicht möglich per Bankeinzug zu bezahlen?,Tue Oct 31 22:54:07 +0000 2017,@116613 Hier findest du alle Infos darüber: https://t.co/FSmvkW0SJB ^AS,3735
3740,"@AmazonHelp na ultima atualização da entrega do meu pedido, consta que não foi possível localizar o meu endereço, poderia ajudar?",Tue Oct 31 22:49:24 +0000 2017,@116614 Olá Georgiano. Sinto muito em saber disso. Por favor entre em contato com o nosso SAC no seguinte link: https://t.co/ouAOLcNWp4 ^JJ,3739
3742,Thanks @116090 for ruining #Halloween - still no sign of the costume I ordered in Sept. Guess Rosie will just have to sit this one out. https://t.co/1tVEv5DZuM,Tue Oct 31 22:59:06 +0000 2017,"@116615 Not what we like to hear at all, Ramya! Was this shipped by us or a seller? You can check here: https://t.co/PyACxvY8Qo ^BL",3741
3744,@AmazonHelp infórmese... no voy a perder más mi tiempo...,Tue Oct 31 22:42:37 +0000 2017,@116616 ¿Puedes explicarnos bien el inconveniente  y mandarnos los detalles en este enlace por favor? https://t.co/kUkXHFkYWd  ^JJ,3743
3748,"@AmazonHelp Many times, but still failing, and it happen with some show",Tue Oct 31 23:02:35 +0000 2017,@116617 Is this still ongoing? What devices are you using? ^AN,3750
3751,@AmazonHelp Sadly yes,Wed Nov 01 09:36:48 +0000 2017,@116617 What devices are you using for Amazon Video? ^AN,3752
3753,"@AmazonHelp Mac book pro, with Chrome",Wed Nov 01 10:09:20 +0000 2017,@116617 In this case please contact my colleagues via: https://t.co/LFLW8z8jr2 They will help you! Regards ^DW,3754
3753,"@AmazonHelp Mac book pro, with Chrome",Wed Nov 01 10:09:20 +0000 2017,@116617 Hi! I just wanted to ask if my colleagues could assist you? Regards ^TA,3755
